,p,t,right,wrong,bias,lexeme,h,a,lang,right_this,wrong_this,ts,uid,lexeme_orig,datetime,decimal_hours
67736,0.5,42.04954861111111,2.23606797749979,1.7320508075688772,1.0,en:europe/europe<np><loc><sg>,42.04954861111111,0.423606797749979,es->en,1,2,1362238751,u:dv9l,europe/europe<np><loc><sg>,2013-03-02 15:39:11,15.653055555555556
209424,0.9999,0.0053472222222222,3.0,1.0,1.0,en:in/in<pr>,37.062266834720376,0.4166666666666667,es->en,1,1,1362510201,u:gZip,in/in<pr>,2013-03-05 19:03:21,19.05583333333333
446627,0.9999,0.9041087962962964,3.1622776601683795,1.4142135623730951,1.0,en:sees/see<vblex><pri><p3><sg>,274.0,0.3687341185834557,es->en,1,1,1362094794,u:iegs,sees/see<vblex><pri><p3><sg>,2013-02-28 23:39:54,23.665
141119,0.9999,1.1041666666666667,6.4031242374328485,1.0,1.0,en:we/prpers<prn><subj><p1><mf><pl>,274.0,0.190980096305292,es->en,1,1,1362267676,u:feOc,we/prpers<prn><subj><p1><mf><pl>,2013-03-02 23:41:16,23.68777777777778
50332,0.9999,0.0909722222222222,6.557438524302,3.4641016151377544,1.0,en:eats/eat<vblex><pri><p3><sg>,274.0,0.1501305004263508,es->en,2,2,1362183822,u:dTHC,eats/eat<vblex><pri><p3><sg>,2013-03-02 00:23:42,0.395
23237,0.9999,31.057141203703704,1.7320508075688772,1.4142135623730951,1.0,en:table/table<n><sg>,274.0,0.5331501153669824,es->en,1,1,1362959767,u:cLuZ,table/table<n><sg>,2013-03-10 23:56:07,23.935277777777777
360217,0.0001,0.0020486111111111,1.7320508075688772,1.4142135623730951,1.0,en:her/her<det><pos><sp>,0.0104166666666666,0.5331501153669824,pt->en,0,1,1362677858,u:i4Cj,her/her<det><pos><sp>,2013-03-07 17:37:38,17.627222222222223
275051,0.66666669,0.2270949074074074,3.741657386773941,1.0,1.0,en:desk/desk<n><sg>,0.3882213419328828,0.337744552163173,es->en,2,3,1362883592,u:hErI,desk/desk<n><sg>,2013-03-10 02:46:32,2.775555555555556
124817,0.9999,6.535844907407407,4.795831523312719,2.6457513110645907,1.0,en:am/be<vbser><pri><p1><sg>,274.0,0.2123697351035224,pt->en,1,1,1362910361,u:fNuZ,am/be<vbser><pri><p1><sg>,2013-03-10 10:12:41,10.211388888888887
63387,0.9999,0.4571296296296296,2.0,1.0,1.0,en:goes/go<vblex><pri><p3><sg>,274.0,0.5714285714285714,pt->en,1,1,1363089995,u:doPg,goes/go<vblex><pri><p3><sg>,2013-03-12 12:06:35,12.109722222222222
1224,0.9999,0.978275462962963,8.888194417315589,3.4641016151377544,1.0,en:hotel/hotel<n><sg>,274.0,0.117077359325974,es->en,1,1,1362704102,u:B-V,hotel/hotel<n><sg>,2013-03-08 00:55:02,0.9172222222222222
330916,0.9999,13.68980324074074,4.358898943540674,1.0,1.0,en:an/a<det><ind><sg>,274.0,0.2890408610700306,es->en,1,1,1362244612,u:hk3I,an/a<det><ind><sg>,2013-03-02 17:16:52,17.28111111111111
